Code,Longitude,Latitude,Network,Name,Data From,Data To,Operational Currently
M0189,-78.578164,-3.40158,M,GUALAQUIZA,1977,2018,No
M0190,-78.742308,-3.774442,M,YANZATZA,1976,2016,No
M0191,-90.302194,-0.743833,M,CHARLES DARWIN INAMHI,1964,2021,Yes
M0192,-90.328111,-0.692417,M,BELLAVISTA-ISLA S.CRUZ,1964,2020,Yes
M0193,-89.56667,-0.9,M,EL PROGRESO-SOCAVON,1964,1996,No
M0194,-90.95675,-0.96111,M,PUERTO VILLAMIL-ISLA ISABELA,1964,2004,No
M0195,-80.0,-3.25667,M,PUERTO BOLIVAR,1952,1999,No
M0196,-79.32889,-3.33194,M,MINAS DE HUASCACHACA,1964,1991,No
M0197,-78.93497222,-2.809388889,M,JACARIN (SOLANO),1973,2018,No
M0198,-78.91667,-0.37028,M,PALO QUEMADO,1971,1993,No
M0199,-79.00667,-2.58667,M,PATOCOCHA,1984,1991,No
M0200,-76.92583,-0.07611,M,SANTA CECILIA,1973,1991,No
M0201,-77.66667,-0.33333,M,EL CHACO INECEL,1976,1993,No
M0202,-77.91722,-1.10056,M,JATUNYACU,1982,1989,No
M0203,-77.52931666,-0.045769443,M,REVENTADOR,1973,2016,Yes
M0204,-78.47556,-3.13778,M,SAN MIGUEL DE CONCHAY,1982,1993,No
M0205,-77.57611,0.08694,M,SAN RAFAEL-NAPO,1975,2000,No
M0206,-78.39861,-2.56667,M,GUARUMALES(PATIO DE MANIOBRAS),1974,1996,No
M0207,-78.95,-4.09361,M,ZAMORA,1964,1993,No
M0208,-77.65,-0.2,M,RIO SALADO-INECEL,1977,1993,No
M0209,-78.99056,-0.31806,M,ALLURIQUIN INECEL,1976,1993,No
M0210,-78.40167,0.00056,M,VINDOBONA,1964,1993,No
M0211,-78.53333,0.11667,M,LA VIÑA DE CHESPI,1978,1990,No
M0212,-78.73556,-0.04778,M,MINDO INECEL,1976,1992,No
M0213,-78.66944,0.19278,M,LA PERLA,1976,1992,No
M0214,-78.42194,0.11222,M,PERUCHO INECEL,1975,1993,No
M0215,-77.86583,-0.62611,M,BAEZA,1973,1993,No
M0216,-78.89,0.01667,M,SAN MIGUEL DE LOS BANCOS,1975,1992,No
M0217,-78.56830556,-2.577777778,M,PEÑAS COLORADAS,1974,2016,No
M0218,-79.30138889,-2.256666667,M,INGENIO SAN CARLOS (BATEY),1966,2014,No
M0219,-78.41667,-1.03556,M,PISAYAMBO-TALATAG,1968,1989,No
M0220,-78.36667,-1.35,M,AGOYAN EN LA PRESA,1982,1993,No
M0221,-89.61430833,-0.904058333,M,SAN CRISTOBAL-GALAPAGOS,1958,2018,Yes
M0222,-78.61583,-2.6125,M,INGAPATA,1982,1989,No
M0223,-80.57917,-2.20361,M,EL AZUCAR,1966,2008,No
M0224,-78.84167,1.26833,M,SAN LORENZO,1953,1999,No
M0225,-78.97972,1.08111,M,BORBON,1965,2000,No
M0226,-78.998333,-1.614444,M,LAGUACOTO - GUARANDA,,,No
M0227,-79.9,-1.36083,M,BALZAR,1964,1981,No
M0228,-79.90139,-2.73417,M,PUNA,1972,2013,No
M0229,-80.05,-2.233333333,M,CHONGON-EST.MECANICA DAC,,,No
M0230,-79.4825,-2.36444,M,BOCATOMA-CULEBRAS,1965,1984,No
M0231,-79.28583,-2.44528,M,LA PUNTILLA-PANCHO NEGRO,1966,1984,No
M0232,-80.082928,-3.882569,M,PUENTE PUYANGO,1981,2016,No
M0233,-79.58333,-2.38333,M,PARRAQUETE GRANDE,1984,1984,No
M0234,-79.08527778,-2.419444444,M,CHONTAMARCA,,,No
M0235,-79.05194444,-3.334722222,M,NABON INERHI,,,No
M0236,-79.65,-3.71667,M,EL TABLON,1984,1984,No
M0237,-79.95,-4.38333,M,MACARA INERHI,1984,1984,No
M0238,-80.00194444,-3.627777778,M,TAHUIN-REPRESA,1980,1991,No
M0239,-79.643064,-3.751103,M,EL SALADO-PREDESUR,1983,2018,No
M0240,-79.55556,-4.05,M,LAS COCHAS,1981,1986,No
M0241,-79.40272222,-4.293399979,M,QUILANGA,1971,2018,No
M0242,-78.94778,-2.43639,M,CARSHAO,1984,1991,No
M0243,-78.56667,-1.58333,M,PUNGALES,1984,2001,No
M0244,-78.77222,-1.29583,M,TAMBOLOMA,1984,1990,No
M0245,-80.65305556,-1.912777778,M,EL SUSPIRO,1984,2018,No
M0246,-80.10083333,-2.234722222,M,CHONGON,1986,2008,No
M0247,-79.64305556,-0.909444444,M,MURUCUMBA,1989,2018,No
M0248,-79.64056,-0.47611,M,DOS HERMANAS,1984,2008,No
